overall_pick,year,team,player,college/former,position,height,years_played,games,win_shares,win_shares_40,minutes_played,points,total_rebounds,assists,spg,bpg,fg%,3-fg%,ft%
21,2020,Dallas Wings,Luisa Geiselsoder,Germany,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
22,2020,Los Angeles Sparks,Leonie Fiebich,Germany,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
23,2020,Connecticut Sun,Kaila Charles,Maryland,null,null,3,52,2.1,0.097,16.7,4.7,2.7,1,null,null,null,null,null
24,2020,Washington Mystics,Jaylyn Agnew,Creighton,null,null,1,12,-0.2,-0.093,5.9,1.3,0.4,0.3,null,null,null,null,null
25,2020,Atlanta Dream,Mikayla Pivec,Oregon State,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
26,2020,New York Liberty,Erica Ogwumike,Rice University,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
27,2020,Atlanta Dream,Kobi Thornton,Clemson,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
28,2020,Indiana Fever,Kamiah Smalls,James Madison University,null,null,2,10,0.2,0.059,13.4,3.1,1.3,2,null,null,null,null,null
29,2020,Phoenix Mercury,Stella Johnson,Rider University,null,null,2,15,0.5,0.154,8.7,3.9,1,0.9,null,null,null,null,null
30,2020,Chicago Sky,Japreece Dean,UCLA,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
31,2020,Seattle Storm,Haley Gorecki,Duke,null,null,1,3,-0.1,-0.375,2,0,0.7,0,null,null,null,null,null
32,2020,Chicago Sky,Kiah Gillespie,Florida State,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
33,2020,Las Vegas Aces,Lauren Manis,Holy Cross,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
34,2020,Los Angeles Sparks,Tynice Martin,West Virginia,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
35,2020,Connecticut Sun,Juicy Landrum,Baylor,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
36,2020,Washington Mystics,Sug Sutton,Texas,null,null,1,12,0,-0.012,9.4,2.8,0.7,1,null,null,null,null,null
1,2019,Las Vegas Aces,Jackie Young,Notre Dame,Guard,6'0 ,4,122,12.4,0.142,28.5,11.5,4,3.7,1,0.3,45.6%,37.2%,84.1%
2,2019,New York Liberty,AD Durr,Louisville,Guard,5'10,2,43,0.9,0.043,19.7,8.1,1.4,1.4,0.4,0.2,42.8%,39.2%,79.5%
3,2019,Indiana Fever,Teaira McCowan,Mississippi State,Center,6'8,4,121,10.9,0.163,22.2,10.8,8.3,0.7,0.5,1.1,54%,0%,66.9%
4,2019,Chicago Sky,Katie Lou Samuelson,UConn,Forward,6'3,4,101,2.8,0.053,20.8,6.5,2.6,1.4,0.7,0.3,43.1%,36.4%,79.6%
5,2019,Dallas Wings,Arike Ogunbowale,Notre Dame,Guard,5'8,4,117,10.4,0.111,32.1,19.8,2.9,3.4,1.3,0.1,38.9%,35.6%,83.2%
6,2019,Minnesota Lynx,Napheesa Collier,UConn,Forward,6'1,4,89,12.7,0.17,33.4,14.6,7,2.9,1.6,1.1,45.3%,32.7%,81.2%
7,2019,Los Angeles Sparks,Kalani Brown,Baylor,Center,6'7,3,39,1.2,0.109,11.4,4.5,2.8,0.4,0.2,0.6,46.8%,0%,70.6%
8,2019,Phoenix Mercury,Alanna Smith,Stanford,Forward,6'4,4,64,0,0.001,10.4,3,2.4,0.7,0.5,0.5,35%,25%,64%
9,2019,Connecticut Sun,Kristine Anigwe,California,Forward-Center,6'4,4,64,0.7,0.044,10.1,3,2.5,0.3,0.4,0.3,45%,0%,59.5%
10,2019,Washington Mystics,Kiara Leslie,NC State,Guard,6'0,2,28,0.1,0.007,17.9,4.6,2.8,0.8,0.5,0.3,34.8%,35.2%,90.5%
11,2019,Atlanta Dream,Brianna Turner,Notre Dame,Forward,6'3,4,118,9.7,0.12,27.4,5.7,7.3,1.6,0.9,1.2,63.9%,0%,63.9%
12,2019,Seattle Storm,Ezi Magbegor,Melbourne Boomers (Australia),Forward,6'4,3,85,6.9,0.177,18.4,7.8,4.2,0.9,0.7,1.1,53.2%,31%,75.5%
13,2019,Phoenix Mercury,Sophie Cunningham,Missouri,null,null,4,111,4.6,0.086,19.2,6.5,2.3,1.1,null,null,null,null,null
14,2019,New York Liberty,Han Xu,Xinjiang Magic Deer (China),null,null,2,50,2,0.116,13.6,6.5,2.6,0.6,null,null,null,null,null
15,2019,Chicago Sky,Chloe Jackson,Baylor,null,null,1,8,-0.2,-0.245,4,0.6,0.8,0.5,null,null,null,null,null
16,2019,Minnesota Lynx,Jessica Shepard,Notre Dame,null,null,3,64,3.2,0.1,20.1,5.7,5.8,2.6,null,null,null,null,null
17,2019,Dallas Wings,Megan Gustafson,Iowa,null,null,4,79,1.5,0.084,9,3.2,2.3,0.3,null,null,null,null,null
18,2019,Minnesota Lynx,Natisha Hiedeman,Marquette,null,null,4,110,7.6,0.141,19.6,7.1,1.8,2.3,null,null,null,null,null
19,2019,Los Angeles Sparks,Marina Mabrey,Notre Dame,null,null,4,116,4,0.064,21.4,10.4,3,2.5,null,null,null,null,null
20,2019,Minnesota Lynx,Cierra Dillard,Buffalo,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
21,2019,Connecticut Sun,Bridget Carleton,Iowa State,null,null,4,98,3.7,0.08,18.7,4.7,2.4,1.4,null,null,null,null,null
22,2019,Dallas Wings,Kennedy Burke,UCLA,null,null,4,92,1.7,0.057,13.3,4.9,1.5,0.7,null,null,null,null,null
23,2019,Atlanta Dream,Maite Cazorla,Oregon,null,null,1,31,-0.2,-0.014,15.4,3,0.7,1.6,null,null,null,null,null
24,2019,Seattle Storm,Anriel Howard,Mississippi State,null,null,1,3,0,-0.028,6.7,1.7,1,0,null,null,null,null,null
25,2019,Indiana Fever,Paris Kea,UNC,null,null,2,22,-0.3,-0.047,10.2,4.8,1.2,1,null,null,null,null,null
26,2019,New York Liberty,Megan Huff,Utah,null,null,1,7,-0.1,-0.323,2.3,0,0.6,0.1,null,null,null,null,null
27,2019,Chicago Sky,Maria Conde,WisÅ‚a Can-Pack KrakÃ³w (Poland),null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
28,2019,Indiana Fever,Caliya Robinson,Georgia,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
29,2019,Dallas Wings,Morgan Bertsch,UC-Davis,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
30,2019,Minnesota Lynx,Kenisha Bell,Minnesota,null,null,1,3,0,-0.162,3.7,0,0.3,0.3,null,null,null,null,null
31,2019,Los Angeles Sparks,Ãngela Salvadores,Ensino (Spain),null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
32,2019,Phoenix Mercury,Arica Carter,Louisville,null,null,1,6,-0.1,-0.229,4,0.3,0,0.2,null,null,null,null,null
33,2019,Connecticut Sun,Regan Magarity,Virginia Tech,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
34,2019,Washington Mystics,Sam Fuehring,Louisville,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
35,2019,Atlanta Dream,Li Yueru,Guangdong Vermilion Birds (China),null,null,1,16,0,0.008,5.1,1.8,1.5,0.1,null,null,null,null,null
36,2019,Seattle Storm,Macy Miller,South Dakota State,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
1,2018,Las Vegas Aces,A'ja Wilson,South Carolina,Center,6'4,5,149,23.8,0.209,30.5,19.1,8.4,2.3,1,1.5,47.2%,37.7%,80.8%
2,2018,Indiana Fever,Kelsey Mitchell,Ohio State,Guard,5'8,5,153,5.4,0.048,29.1,15.9,2,3,0.7,0.1,41%,37.2%,84.6%
3,2018,Chicago Sky,Diamond DeShields,Tennessee,Guard,6'1,5,143,4.5,0.047,26.8,13.2,4.2,2.2,1,0.3,39.8%,28.3%,80.2%
4,2018,Chicago Sky,Gabby Williams,UConn,Forward,5'11,4,125,4.3,0.062,22.2,7,3.9,2.2,1.3,0.3,42.9%,24.9%,73.3%
5,2018,Seattle Storm,Jordin Canada,UCLA,Guard,5'6,5,144,4.9,0.059,22.9,7.7,2.1,4.4,1.3,0.1,38%,16.2%,78.5%
6,2018,Dallas Wings,Azura Stevens,UConn,Forward,6'6,5,121,7.5,0.117,21.1,9,4.4,1,0.7,0.9,45.2%,33%,79.5%
7,2018,Washington Mystics,Ariel Atkins,Texas,Guard,5'10,5,150,13.4,0.129,27.6,13.4,2.8,2.3,1.5,0.4,42.4%,36%,84.1%
8,2018,Indiana Fever,Victoria Vivians,Mississippi State,Guard,6'1,4,106,-1,-0.015,24.6,8.3,3.2,1.6,0.9,0.1,35.7%,30.7%,84.5%
9,2018,Connecticut Sun,Lexie Brown,Duke,Guard,5'9,5,123,2.9,0.056,17.2,5.4,1.5,1.5,0.9,0,36.5%,33.5%,70%
10,2018,New York Liberty,Kia Nurse,UConn,Guard,5'10,4,121,3.4,0.043,26.3,11,2.8,2,0.6,0.1,34.8%,30.9%,84.9%
11,2018,Los Angeles Sparks,Maria Vadeeva,Dynamo Kursk (Russia),Forward,6'4,2,40,1.6,0.167,9.6,5.2,2.8,0.5,0.6,0.3,51%,32.5%,75.9%
12,2018,Phoenix Mercury,Marie Gulich,Oregon State,Center,6'5,3,66,0,0.002,8.8,2.5,1.9,0.4,0.2,0.5,40.5%,28.6%,75.8%
13,2018,Las Vegas Aces,Jaime Nared,Tennessee,null,null,2,32,-0.1,-0.014,8.9,2.5,1.4,0.4,null,null,null,null,null
14,2018,Indiana Fever,Stephanie Mavunga,Ohio State,null,null,3,59,1,0.078,8.4,2.5,2.5,0.2,null,null,null,null,null
15,2018,Atlanta Dream,Monique Billings,UCLA,null,null,5,137,5.6,0.085,19.3,6.2,6,0.8,null,null,null,null,null
16,2018,Atlanta Dream,Kristy Wallace,Baylor,null,null,1,29,0.8,0.056,20.8,6.6,2.3,2.2,null,null,null,null,null
17,2018,Minnesota Lynx,JiSu Park,Cheongju KB Stars (South Korea),null,null,3,82,0.1,0.003,9.8,1.9,2.2,0.7,null,null,null,null,null
18,2018,Dallas Wings,Loryn Goodwin,Oklahoma State,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
19,2018,Washington Mystics,Myisha Hines-Allen,Louisville,null,null,5,125,6.2,0.11,17.9,8.5,5,1.6,null,null,null,null,null
20,2018,Phoenix Mercury,Tyler Scaife,Rutgers University,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
21,2018,Phoenix Mercury,Raisa Musina,UMMC Ekaterinburg (Russia),null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
22,2018,New York Liberty,Mercedes Russell,Tennessee,null,null,5,115,6.6,0.126,18.3,5.2,4.4,0.9,null,null,null,null,null
23,2018,Los Angeles Sparks,Shakayla Thomas,Florida State,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
24,2018,Minnesota Lynx,Kahlia Lawrence,Mercer University,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
25,2018,Las Vegas Aces,Raigyne Louis,LSU,null,null,1,2,-0.1,-0.165,10.5,3,2,0.5,null,null,null,null,null
26,2018,Phoenix Mercury,Imani Wright,Florida State,null,null,1,1,0,-1.127,1,0,0,0,null,null,null,null,null
27,2018,Atlanta Dream,Mackenzie Engram,Georgia,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
28,2018,Chicago Sky,Amarah Coleman,DePaul,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
29,2018,Seattle Storm,Teana Muldrow,West Virginia,null,null,1,4,0,-0.095,2.3,0,0.3,0,null,null,null,null,null
30,2018,Dallas Wings,Natalie Butler,George Mason,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
31,2018,Washington Mystics,Rebecca Greenwell,Duke,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
32,2018,Las Vegas Aces,Jill Barta,Gonzaga,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
33,2018,Connecticut Sun,Mikayla Cowling,California,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
34,2018,New York Liberty,Leslie Robinson,Princeton,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
35,2018,Los Angeles Sparks,Julia ReisingerovÃ¡,Femeni Sant AdriÃ  (Spain),null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
36,2018,Minnesota Lynx,Carlie Wagner,Minnesota,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
1,2017,San Antonio Stars,Kelsey Plum,Washington,Guard,5'8,5,158,11.1,0.106,26.7,12.4,2.5,3.9,0.8,0.1,41.4%,39.5%,87.1%
2,2017,Chicago Sky,Alaina Coates,South Carolina,Center,6'4,4,83,2.3,0.114,9.7,3,2.8,0.3,0.2,0.3,56.5%,0%,62.3%
3,2017,Dallas Wings,Evelyn Akhator,Kentucky,Forward,6'3,1,15,-0.2,-0.107,4.1,0.9,0.6,0,0.1,0.2,25%,0%,83.3%
4,2017,Dallas Wings,Allisha Gray,South Carolina,Guard,6'0,6,180,15.6,0.121,28.7,11.7,4.2,2,1.2,0.5,42.4%,35.5%,83.8%
5,2017,San Antonio Stars,Nia Coffey,Northwestern,Forward,6'1,6,146,0.5,0.008,16.1,5.1,3,0.6,0.4,0.4,37.6%,33.5%,61%
6,2017,Washington Mystics,Shatori Walker-Kimbrough,Maryland,Guard,5'9,6,153,6,0.094,16.6,6,1.4,1.1,0.8,0.3,42%,34.6%,91.2%
7,2017,Atlanta Dream,Brittney Sykes,Syracuse,Guard,5'9,6,182,7.8,0.066,25.9,11.1,3.9,2.5,1.2,0.5,41.3%,28.8%,74.9%
8,2017,Connecticut Sun,Brionna Jones,Maryland,Forward,6'3,6,166,16.9,0.221,18.4,8.7,4.1,0.8,1,0.4,53%,12.6%,77.2%
9,2017,Chicago Sky,Tori Jankoska,Michigan State,Guard,5'8,0,null,null,null,null,null,null,null,null,null,null,null,null
10,2017,Dallas Wings,Kaela Davis,South Carolina,Forward,6'2,5,102,-2.7,-0.065,16.2,5.5,1.8,1.4,0.4,0.1,42%,34.5%,76.1%
11,2017,Los Angeles Sparks,Sydney Wiese,Oregon State,Guard,6'0,5,117,1.7,0.036,15.9,4,1.2,1.1,0.4,0.1,38.9%,36.4%,80.9%
12,2017,Minnesota Lynx,Alexis Jones,Baylor,Guard,5'9,4,81,0.2,0.01,9.1,3.3,0.8,1,0.2,0.1,36.4%,34.4%,79.5%
